[2026-01-05 18:57:53.881541] Suspicious TCP Traffic | Severity: Medium
[2026-01-07 19:57:12.024402] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.026676] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.028696] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.032300] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.034761] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.034761] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.034761] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.067409] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.069573] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.072193] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.073547] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.076882] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.078374] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.081218] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.083224] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.083701] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.083701] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.090152] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.091100] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.094109] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.096026] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.098313] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.100336] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.102762] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.104758] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.107217] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.107217] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.111178] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.113400] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.116396] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.117020] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.117020] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.123270] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.126223] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.128786] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.131178] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.133776] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.136778] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.138780] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.141902] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.142929] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.145940] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.147671] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.151354] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.153477] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.155589] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.155589] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.161306] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.163301] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.165500] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.167872] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.169994] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.171871] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.174346] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.177385] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.178405] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.181961] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.185085] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.187082] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.187082] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.187082] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.195833] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.198836] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.200851] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.206615] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.214328] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.218350] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.221346] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.223346] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.228350] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.230927] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.236970] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.240971] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.244980] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.247456] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.251506] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.255573] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.259606] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.264270] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.268289] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.272370] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.278448] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.280914] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.285764] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.287778] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.330907] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.332937] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.386792] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.388793] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.391791] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.393788] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.396786] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.398791] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.449896] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.449896] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.456971] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.458993] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.463142] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.465144] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.469143] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.471148] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.474050] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.476054] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.476054] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.480691] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.482719] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.484339] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.484339] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.484339] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.484339] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.484339] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.496079] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.498106] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.501094] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.501094] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.501094] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.501094] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.524124] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.526137] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.530175] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.532194] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.535054] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.538024] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.541480] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.543508] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.545189] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.548092] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.551691] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.551691] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.574378] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.576397] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.579398] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.581728] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.585798] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.588645] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.590649] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.593281] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.596329] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.598283] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.601280] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.602284] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.606282] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.608640] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.611765] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.613289] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.617684] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.619797] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.622826] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.624815] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.628559] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.629560] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.632761] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.634761] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.638779] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.641182] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.643178] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.643178] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.650295] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.652587] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.655353] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.657290] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.660942] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.662486] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.666169] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.668174] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.672014] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.673870] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.676424] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.678338] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.681547] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.683539] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.688216] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.690279] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.692641] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.694642] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.698283] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.700278] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.705339] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.706483] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.706483] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.713787] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.716785] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.719787] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.720790] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.720790] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.730880] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.732908] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.736910] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.738905] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.742566] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.745579] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.749457] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.752298] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.756937] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.757957] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.762993] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.765010] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.770207] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.772222] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.775139] TCP Burst | Severity: MEDIUM
